#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28456";"36";"制2其他变动";0;5.59416;0;6.57648;6.57648
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28456";"41";"制1折旧";0;9.3236;0;10.9608;10.9608
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28350";"34";"制1其他变动";0;251.61168;0;295.79388;295.79388
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28350";"36";"制2其他变动";0;62.90292;0;73.94847;73.94847
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28350";"41";"制1折旧";0;104.8382;0;123.24745;123.24745
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28362";"34";"制1其他变动";0;251.61168;0;295.79388;295.79388
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28362";"36";"制2其他变动";0;62.90292;0;73.94847;73.94847
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28362";"41";"制1折旧";0;104.8382;0;123.24745;123.24745
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28374";"34";"制1其他变动";0;307.52544;0;361.5258;361.5258
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28374";"36";"制2其他变动";0;76.88136;0;90.38145;90.38145
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28374";"41";"制1折旧";0;128.1356;0;150.63575;150.63575
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28383";"34";"制1其他变动";0;223.6548;0;262.9278;262.9278
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28383";"36";"制2其他变动";0;55.9137;0;65.73195;65.73195
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28383";"41";"制1折旧";0;93.1895;0;109.55325;109.55325
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28396";"34";"制1其他变动";0;223.6548;0;262.9278;262.9278
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28396";"36";"制2其他变动";0;55.9137;0;65.73195;65.73195
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28396";"41";"制1折旧";0;93.1895;0;109.55325;109.55325
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28407";"34";"制1其他变动";0;307.52544;0;361.5258;361.5258
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28407";"36";"制2其他变动";0;76.88136;0;90.38145;90.38145
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28407";"41";"制1折旧";0;128.1356;0;150.63575;150.63575
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28422";"34";"制1其他变动";0;251.61168;0;295.79388;295.79388
